Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45000000,-0.66,13.11,131.6,26.28,391.6,413.1,71.4
45001500,-0.66,13.11,131.9,26.20,391.4,413.0,71.4
45003000,-0.66,13.11,131.4,26.32,391.7,413.2,71.5
45004500,-0.66,13.09,132.2,26.22,391.9,413.6,71.4
45006000,-0.66,13.10,131.7,26.28,391.7,413.3,71.4
45007500,-0.66,13.08,132.1,26.29,392.4,414.0,71.4
45009000,-0.66,13.06,132.4,26.27,392.7,414.4,71.4
45010500,-0.67,13.07,134.0,25.83,391.0,413.4,71.1
45012000,-0.66,13.09,132.4,26.15,391.5,413.3,71.3
45013500,-0.66,13.06,132.3,26.31,392.9,414.6,71.4
45015000,-0.66,13.01,133.0,26.37,394.1,416.0,71.4
45016500,-0.66,13.07,131.9,26.37,392.8,414.4,71.4
45018000,-0.67,13.09,133.2,25.98,391.1,413.2,71.2
45019500,-0.66,13.04,133.2,26.20,393.0,415.0,71.3
45021000,-0.66,13.04,132.9,26.25,393.1,415.0,71.3
45022500,-0.66,13.04,133.0,26.27,393.3,415.2,71.3
45024000,-0.67,13.03,133.6,26.12,392.9,415.0,71.2
45025500,-0.66,13.08,131.7,26.39,392.6,414.1,71.5
45027000,-0.67,13.04,133.8,26.05,392.7,414.9,71.2
45028500,-0.66,13.07,132.4,26.25,392.4,414.2,71.4
45030000,-0.66,13.01,133.4,26.28,394.1,416.1,71.3
45031500,-0.66,13.05,132.3,26.37,393.3,415.0,71.4
45033000,-0.67,13.00,134.1,26.13,393.7,415.9,71.2
45034500,-0.67,13.05,133.6,26.04,392.2,414.3,71.2
45036000,-0.66,13.00,133.8,26.23,394.1,416.2,71.3
45037500,-0.66,12.99,132.9,26.51,395.2,417.0,71.4
45039000,-0.66,12.99,133.1,26.44,395.0,416.8,71.4
45040500,-0.66,12.99,134.0,26.23,394.3,416.5,71.2
45042000,-0.66,12.98,133.6,26.38,395.1,417.1,71.3
45043500,-0.66,12.96,134.2,26.29,395.2,417.3,71.2
45045000,-0.66,13.01,133.3,26.31,394.2,416.1,71.3
45046500,-0.66,12.99,134.4,26.14,394.1,416.4,71.2
45048000,-0.66,12.93,133.9,26.50,396.6,418.6,71.3
45049500,-0.66,13.00,133.7,26.25,394.2,416.3,71.3
45051000,-0.66,12.95,134.9,26.20,395.3,417.7,71.2
45052500,-0.66,12.96,133.6,26.44,395.7,417.6,71.3
45054000,-0.66,12.97,133.7,26.40,395.4,417.4,71.3
45055500,-0.66,12.98,133.2,26.47,395.4,417.2,71.4
45057000,-0.66,12.94,134.5,26.33,395.8,418.0,71.2
45058500,-0.66,12.96,134.1,26.34,395.5,417.6,71.3
45060000,-0.66,12.94,134.7,26.28,395.7,418.0,71.2
45061500,-0.67,12.91,136.2,26.04,395.6,418.4,71.0
45063000,-0.66,12.91,135.2,26.29,396.4,418.9,71.2
45064500,-0.66,12.93,133.9,26.53,396.7,418.7,71.4
45066000,-0.66,12.86,135.7,26.41,398.2,420.7,71.2
45067500,-0.66,12.89,134.9,26.43,397.3,419.6,71.2
45069000,-0.66,12.88,136.1,26.21,397.0,419.7,71.1
45070500,-0.66,12.90,135.6,26.22,396.4,418.9,71.1
45072000,-0.66,12.95,134.5,26.29,395.6,417.8,71.2
45073500,-0.66,12.87,136.2,26.20,397.1,419.8,71.1
45075000,-0.66,12.89,135.8,26.23,396.7,419.3,71.1
45076500,-0.66,12.87,135.3,26.46,398.0,420.4,71.2
45078000,-0.66,12.88,135.4,26.37,397.5,419.9,71.2
45079500,-0.66,12.87,135.3,26.45,398.0,420.4,71.2
45081000,-0.65,12.89,133.8,26.71,398.2,420.0,71.4
45082500,-0.66,12.86,135.6,26.45,398.3,420.8,71.2
45084000,-0.66,12.86,136.3,26.27,397.8,420.5,71.1
45085500,-0.66,12.87,135.2,26.50,398.2,420.5,71.3
45087000,-0.65,12.86,134.4,26.72,399.1,421.1,71.4
45088500,-0.66,12.86,135.6,26.41,398.1,420.5,71.2
45090000,-0.66,12.81,136.8,26.37,399.3,422.1,71.1
45091500,-0.65,12.85,135.2,26.54,398.6,421.0,71.3
45093000,-0.65,12.82,135.5,26.64,399.8,422.1,71.3
45094500,-0.65,12.84,135.2,26.60,399.1,421.4,71.3
45096000,-0.65,12.82,135.8,26.56,399.6,422.1,71.2
45097500,-0.66,12.84,136.4,26.30,398.2,420.9,71.1
45099000,-0.65,12.78,136.2,26.62,400.6,423.2,71.2
45100500,-0.65,12.81,135.8,26.60,400.0,422.4,71.2
45102000,-0.66,12.82,136.1,26.49,399.3,421.9,71.2
45103500,-0.65,12.81,135.6,26.66,400.1,422.5,71.3
45105000,-0.65,12.83,135.7,26.53,399.2,421.6,71.2
45106500,-0.65,12.82,135.3,26.67,399.9,422.2,71.3
45108000,-0.65,12.77,136.3,26.66,401.0,423.6,71.2
45109500,-0.65,12.78,136.4,26.62,400.8,423.3,71.2
45111000,-0.65,12.77,136.1,26.68,401.1,423.5,71.3
45112500,-0.66,12.76,137.5,26.43,400.6,423.5,71.1
45114000,-0.65,12.82,135.1,26.76,400.3,422.4,71.4
45115500,-0.66,12.77,136.8,26.52,400.6,423.3,71.1
45117000,-0.65,12.74,137.0,26.64,401.7,424.4,71.2
45118500,-0.65,12.74,137.4,26.57,401.7,424.5,71.1
45120000,-0.65,12.71,137.6,26.62,402.5,425.4,71.1
45121500,-0.65,12.72,137.8,26.54,402.0,425.0,71.1
45123000,-0.65,12.76,136.2,26.72,401.5,424.0,71.3
45124500,-0.66,12.75,137.5,26.46,400.9,423.9,71.1
45126000,-0.65,12.76,136.3,26.70,401.4,423.9,71.2
45127500,-0.65,12.71,137.8,26.60,402.5,425.4,71.1
45129000,-0.65,12.72,137.6,26.57,402.0,424.9,71.1
45130500,-0.65,12.68,138.2,26.60,403.1,426.2,71.1
45132000,-0.65,12.78,135.9,26.72,401.0,423.4,71.3
45133500,-0.66,12.74,137.5,26.51,401.4,424.3,71.1
45135000,-0.65,12.74,136.5,26.75,402.1,424.6,71.3
45136500,-0.65,12.71,137.3,26.71,402.8,425.6,71.2
45138000,-0.65,12.71,136.4,26.93,403.5,426.0,71.3
45139500,-0.65,12.69,137.9,26.66,403.2,426.2,71.1
45141000,-0.65,12.67,137.3,26.87,404.2,426.9,71.2
45142500,-0.65,12.68,138.1,26.67,403.5,426.5,71.1
45144000,-0.65,12.65,138.5,26.69,404.3,427.3,71.1
45145500,-0.65,12.64,139.1,26.58,404.1,427.4,71.0
45147000,-0.65,12.69,138.2,26.57,402.8,425.9,71.1
45148500,-0.65,12.66,137.5,26.89,404.7,427.4,71.2
45150000,-0.65,12.67,137.3,26.90,404.5,427.1,71.2
45151500,-0.65,12.60,139.0,26.82,405.9,429.0,71.1
45153000,-0.65,12.63,138.5,26.76,404.9,427.9,71.1
45154500,-0.65,12.68,138.2,26.64,403.4,426.4,71.1
45156000,-0.65,12.68,138.4,26.57,403.1,426.2,71.1
45157500,-0.65,12.66,137.9,26.79,404.3,427.2,71.2
45159000,-0.65,12.63,138.6,26.79,405.2,428.2,71.1
45160500,-0.65,12.64,139.1,26.58,404.0,427.3,71.0
45162000,-0.65,12.61,139.3,26.69,405.3,428.5,71.0
45163500,-0.65,12.63,138.7,26.74,405.0,428.1,71.1
45165000,-0.65,12.64,138.7,26.70,404.6,427.7,71.1
45166500,-0.66,12.62,139.9,26.49,404.3,427.8,70.9
45168000,-0.65,12.65,138.7,26.66,404.2,427.3,71.1
45169500,-0.66,12.62,139.9,26.53,404.6,428.1,70.9
45171000,-0.65,12.63,139.0,26.67,404.7,427.9,71.0
45172500,-0.65,12.60,138.8,26.86,406.1,429.1,71.1
45174000,-0.64,12.63,137.7,26.97,405.6,428.3,71.2
45175500,-0.65,12.61,139.2,26.71,405.3,428.5,71.0
45177000,-0.65,12.61,139.0,26.78,405.6,428.8,71.1
45178500,-0.65,12.58,140.1,26.63,405.8,429.4,70.9
45180000,-0.66,12.61,140.2,26.51,404.8,428.4,70.9
45181500,-0.65,12.57,139.8,26.77,406.7,430.1,71.0
45183000,-0.65,12.56,139.6,26.84,406.9,430.2,71.1
45184500,-0.65,12.58,140.2,26.64,406.0,429.5,71.0
45186000,-0.64,12.58,138.5,27.03,407.1,430.0,71.2
45187500,-0.65,12.58,140.2,26.62,405.9,429.4,70.9
45189000,-0.65,12.52,140.3,26.87,408.1,431.5,71.0
45190500,-0.65,12.56,140.3,26.69,406.6,430.1,71.0
45192000,-0.65,12.57,139.5,26.85,407.0,430.2,71.1
45193500,-0.65,12.55,140.9,26.60,406.6,430.3,70.9
45195000,-0.65,12.54,139.8,26.92,407.9,431.2,71.1
45196500,-0.65,12.55,139.7,26.89,407.4,430.7,71.1
45198000,-0.65,12.55,140.6,26.68,406.9,430.5,70.9
45199500,-0.65,12.51,140.6,26.84,408.3,431.8,71.0
45201000,-0.64,12.47,140.4,27.11,410.2,433.6,71.1
45202500,-0.65,12.50,141.0,26.82,408.6,432.3,71.0
45204000,-0.65,12.53,141.1,26.62,407.0,430.8,70.9
45205500,-0.65,12.49,141.1,26.81,408.7,432.4,70.9
45207000,-0.64,12.52,139.8,27.00,408.7,431.9,71.1
45208500,-0.64,12.50,140.0,27.05,409.3,432.6,71.1
45210000,-0.65,12.47,142.2,26.68,408.9,432.9,70.8
45211500,-0.65,12.50,141.6,26.68,408.2,432.0,70.9
45213000,-0.65,12.50,140.9,26.84,408.6,432.2,71.0
45214500,-0.64,12.47,140.8,27.01,410.0,433.5,71.0
45216000,-0.65,12.48,141.3,26.81,408.9,432.6,70.9
45217500,-0.64,12.49,139.8,27.14,409.8,433.0,71.2
45219000,-0.65,12.49,140.7,26.94,409.3,432.8,71.0
45220500,-0.65,12.48,141.0,26.91,409.4,433.0,71.0
45222000,-0.65,12.46,141.7,26.83,409.6,433.4,70.9
45223500,-0.64,12.43,141.2,27.09,411.3,434.8,71.0
45225000,-0.65,12.45,141.6,26.93,410.3,434.1,71.0
45226500,-0.64,12.43,141.8,26.95,410.7,434.5,71.0
45228000,-0.65,12.42,142.5,26.84,410.7,434.7,70.9
